t,x,y
0.71800,4.67413,2.84196
0.71900,4.68064,2.84142
0.72000,4.68715,2.84087
0.72100,4.69366,2.84030
0.72200,4.70017,2.83973
0.72300,4.70668,2.83915
0.72400,4.71319,2.83856
0.72500,4.71970,2.83795
0.72600,4.72621,2.83734
0.72700,4.73272,2.83672
0.72800,4.73923,2.83609
0.72900,4.74574,2.83545
0.73000,4.75225,2.83479
0.73100,4.75876,2.83413
0.73200,4.76527,2.83346
0.73300,4.77178,2.83278
0.73400,4.77829,2.83209
0.73500,4.78480,2.83139
0.73600,4.79131,2.83068
0.73700,4.79782,2.82996
0.73800,4.80433,2.82923
0.73900,4.81084,2.82849
0.74000,4.81735,2.82774
0.74100,4.82386,2.82698
0.74200,4.83037,2.82621
0.74300,4.83688,2.82543
0.74400,4.84339,2.82465
0.74500,4.84990,2.82385
0.74600,4.85641,2.82304
0.74700,4.86292,2.82222
0.74800,4.86943,2.82139
0.74900,4.87594,2.82055
0.75000,4.88245,2.81971
0.75100,4.88896,2.81885
0.75200,4.89547,2.81798
0.75300,4.90198,2.81711
0.75400,4.90849,2.81622
0.75500,4.91500,2.81532
0.75600,4.92151,2.81442
0.75700,4.92802,2.81350
0.75800,4.93453,2.81257
0.75900,4.94104,2.81164
0.76000,4.94755,2.81069
0.76100,4.95406,2.80974
0.76200,4.96057,2.80877
0.76300,4.96708,2.80780
0.76400,4.97359,2.80681
0.76500,4.98010,2.80582
0.76600,4.98661,2.80481
0.76700,4.99312,2.80380
0.76800,4.99963,2.80277
0.76900,5.00614,2.80174
0.77000,5.01265,2.80070
0.77100,5.01916,2.79964
0.77200,5.02567,2.79858
0.77300,5.03218,2.79751
0.77400,5.03869,2.79642
0.77500,5.04520,2.79533
0.77600,5.05171,2.79423
0.77700,5.05822,2.79311
0.77800,5.06473,2.79199
0.77900,5.07124,2.79086
0.78000,5.07775,2.78972
0.78100,5.08426,2.78857
0.78200,5.09077,2.78741
0.78300,5.09728,2.78623
0.78400,5.10379,2.78505
0.78500,5.11030,2.78386
0.78600,5.11681,2.78266
0.78700,5.12332,2.78145
0.78800,5.12983,2.78023
0.78900,5.13634,2.77900
0.79000,5.14285,2.77776
0.79100,5.14936,2.77651
0.79200,5.15587,2.77525
0.79300,5.16238,2.77398
0.79400,5.16889,2.77270
0.79500,5.17540,2.77141
0.79600,5.18190,2.77011
0.79700,5.18841,2.76881
0.79800,5.19492,2.76749
0.79900,5.20143,2.76616
0.80000,5.20794,2.76482
0.80100,5.21445,2.76347
0.80200,5.22096,2.76212
0.80300,5.22747,2.76075
0.80400,5.23398,2.75937
0.80500,5.24049,2.75798
0.80600,5.24700,2.75659
0.80700,5.25351,2.75518
0.80800,5.26002,2.75376
0.80900,5.26653,2.75234
0.81000,5.27304,2.75090
